Genre,allTimePlays
Hip-Hop,1494080463
R&B,1076012810
Electronic Dance Music (EDM),873210024
Electronic,734753162
House,587575613
Latin,549306298
Pop,456993906
Dubstep,321691890
Rock,280779732
Reggaeton,277585104
Deep House,262606775
Alternative Rock,136231208
Country,133537686
World Music,127523805
Ambient,116194607
Reggae,110092744
Dance Hall,105872109
Classical,94203792
SoundTrack,81456350
Folk,77613070
Indie,77534771
Metal,73226327
Piano,56292386
Drum Bass,47499703
Jazz,45361106
Disco,15462776
Techno,7637761
