,City,State,Country,timeframe,Latitude,Longitude
0,Cancun,Quintana Roo,Mexico,1-Jan-16,21.161908,-86.8515279
1,Puerto Vallarta,Mexico,Mexico,2-Jan-16,20.653407,-105.2253316
2,Miami,FL,USA,3-Jan-16,25.7616798,-80.1917902
3,Las Vegas,NV,USA,6-Jan-16,36.1699412,-115.1398296
4,Las Vegas,NV,USA,8-Jan-16,36.1699412,-115.1398296
5,Belen,Costa Rica,Costa Rica,9-Jan-16,34.6627652,-106.7761546
6,Las Vegas,NV,USA,15-Jan-16,36.1699412,-115.1398296
7,Miami Gardens,FL,USA,16-Jan-16,25.9420377,-80.2456045
8,Miami Beach,FL,USA,16-Jan-16,25.790654,-80.1300455
9,Las Vegas,NV,USA,22-Jan-16,36.1699412,-115.1398296
10,Lansing,MI,USA,23-Jan-16,42.732535,-84.5555347
11,New York,NY,USA,28-Jan-16,40.7127753,-74.0059728
12,Atlantic City,NJ,USA,29-Jan-16,39.3642834,-74.4229266
13,Las Vegas,NV,USA,30-Jan-16,36.1699412,-115.1398296
14,Lincoln,NE,USA,26-Feb-16,43.657211,-70.253343
15,Tulsa,OK,USA,26-Feb-16,36.1539816,-95.992775
16,St. Charles,MO,USA,27-Feb-16,38.7908401,-90.4889736
17,San Diego,CA,USA,4-Mar-16,32.715738,-117.1610838
18,Tampa,FL,USA,5-Mar-16,27.950575,-82.4571776
19,Seattle,WA,USA,12-Mar-16,47.6062095,-122.3320708
20,Las Vegas,NV,USA,13-Mar-16,36.1699412,-115.1398296
21,Panama City Beach,FL,USA,15-Mar-16,30.1765914,-85.8054879
22,Miami Beach,FL,USA,16-Mar-16,25.790654,-80.1300455
23,Miami Beach,FL,USA,16-Mar-16,25.790654,-80.1300455
24,Miami Beach,FL,USA,17-Mar-16,25.790654,-80.1300455
25,Austin,TX,USA,19-Mar-16,30.267153,-97.7430608
26,Amherst,MA,USA,31-Mar-16,42.3732216,-72.5198537
27,Jacksonville,FL,USA,1-Apr-16,30.3321838,-81.655651
